404 Grímsey Meðalhiti
nr	ar	 man	   t	mat
404	1889	 8	 9.2	5
404	1889	 9	 7.4	5
404	1889	10	 4.6	5
404	1889	11	 2.7	5
404	1889	12	 0.2	5
404	1890	 1	-0.6	5
404	1890	 2	 0.9	5
404	1890	 3	-4.5	5
404	1890	 4	 0.4	5
404	1890	 5	 3.3	5
404	1890	 6	 4.3	5
404	1890	 7	 6.3	5
404	1890	 8	 7.1	5
404	1890	 9	 5.5	5
404	1890	10	 1.8	5
404	1890	11	 1.6	5
404	1890	12	 1.7	5
404	1891	 1	-1.5	5
404	1891	 2	-0.4	5
404	1891	 3	-7.0	5
404	1891	 4	-0.5	5
404	1891	 5	 0.9	5
404	1891	 6	 6.1	5
404	1891	 7	 8.0	5
404	1891	 8	 6.3	5
404	1891	 9	 5.4	5
404	1891	10	 4.7	5
404	1891	11	 0.0	5
404	1891	12	-0.6	5
404	1892	 1	-3.8	5
404	1892	 2	-6.7	5
404	1892	 3	-6.3	5
404	1892	 4	-3.8	5
404	1892	 5	-0.7	5
404	1892	 6	 2.3	5
404	1892	 7	 5.2	5
404	1892	 8	 5.4	5
404	1892	 9	 3.8	5
404	1892	10	 1.9	5
404	1892	11	-0.5	5
404	1892	12	-3.2	5
404	1893	 1	-1.0	5
404	1893	 2	-2.5	5
404	1893	 3	-1.8	5
404	1893	 4	 1.0	5
404	1893	 5	 3.6	5
404	1893	 6	 5.7	5
404	1893	 7	 8.1	5
404	1893	 8	 7.5	5
404	1893	 9	 3.9	5
404	1893	10	 0.3	5
404	1893	11	-2.8	5
404	1893	12	-2.1	5
404	1894	 1	-3.2	5
404	1894	 2	-2.9	5
404	1894	 3	-1.0	5
404	1894	 4	 1.6	5
404	1894	 5	 1.7	5
404	1894	 6	 8.2	5
404	1894	 7	 9.9	5
404	1894	 8	 9.1	5
404	1894	 9	 8.3	5
404	1894	10	 2.5	5
404	1894	11	 1.1	5
404	1894	12	-2.2	5
404	1895	 1	-3.5	5
404	1895	 2	-0.3	5
404	1895	 3	-3.0	5
404	1895	 4	-4.0	5
404	1895	 5	 3.6	5
404	1895	 6	 6.6	5
404	1895	 7	 7.0	5
404	1895	 8	 6.8	5
404	1895	 9	 6.8	5
404	1895	10	 1.1	5
404	1895	11	 0.3	5
404	1895	12	-1.9	5
404	1896	 1	-1.6	5
404	1896	 2	 0.2	5
404	1896	 3	-4.8	5
404	1896	 4	-0.9	5
404	1896	 5	 4.4	5
404	1896	 6	 3.6	5
404	1896	 7	 6.8	5
404	1896	 8	 6.5	5
404	1896	 9	 4.6	5
404	1896	10	-0.3	5
404	1896	11	-0.6	5
404	1896	12	 0.2	5
404	1897	 1	-0.9	5
404	1897	 2	-3.7	5
404	1897	 3	-1.6	5
404	1897	 4	 1.1	5
404	1897	 5	 2.3	5
404	1897	 6	 4.9	5
404	1897	 7	 8.0	5
404	1897	 8	 6.1	5
404	1897	 9	 4.2	5
404	1897	10	 3.1	5
404	1897	11	-0.8	5
404	1897	12	 0.4	5
404	1898	 1	-1.4	5
404	1898	 2	-3.5	5
404	1898	 3	-2.7	5
404	1898	 4	 0.3	5
404	1898	 5	 1.8	5
404	1898	 6	 6.3	5
404	1898	 7	 7.4	5
404	1898	 8	 6.8	5
404	1898	 9	 5.9	5
404	1898	10	 4.1	5
404	1898	11	-0.1	5
404	1898	12	-1.4	5
404	1899	 1	-2.1	5
404	1899	 2	-1.5	5
404	1899	 3	-5.5	5
404	1899	 4	-3.0	5
404	1899	 5	 2.5	5
404	1899	 6	 7.2	5
404	1899	 7	 9.1	5
404	1899	 8	 9.1	5
404	1899	 9	 4.6	5
404	1899	10	 0.8	5
404	1899	11	-2.5	5
404	1899	12	-0.8	5
404	1900	 1	-0.1	5
404	1900	 2	-3.2	5
404	1900	 3	-2.6	5
404	1900	 4	-0.8	5
404	1900	 5	 1.7	5
404	1900	 6	 6.9	5
404	1900	 7	 7.5	5
404	1900	 8	 8.1	5
404	1900	 9	 6.7	5
404	1900	10	 1.3	5
404	1900	11	 1.1	5
404	1900	12	-0.6	5
404	1901	 1	 0.1	5
404	1901	 2	-1.7	5
404	1901	 3	-2.0	5
404	1901	 4	-2.8	5
404	1901	 5	 3.4	5
404	1901	 6	 6.0	5
404	1901	 7	 8.6	5
404	1901	 8	 7.8	5
404	1901	 9	 7.8	5
404	1901	10	 1.1	5
404	1901	11	-0.1	5
404	1901	12	-2.7	5
404	1902	 1	-6.9	5
404	1902	 2	-6.9	5
404	1902	 3	-6.0	5
404	1902	 4	-2.6	5
404	1902	 5	 0.1	5
404	1902	 6	 3.5	5
404	1902	 7	 5.1	5
404	1902	 8	 6.0	5
404	1902	 9	 5.8	5
404	1902	10	 3.7	5
404	1902	11	 1.8	5
404	1902	12	 0.3	5
404	1903	 1	-2.1	5
404	1903	 2	-3.1	5
404	1903	 3	-3.7	5
404	1903	 4	-2.3	5
404	1903	 5	 1.5	5
404	1903	 6	 5.0	5
404	1903	 7	 6.6	5
404	1903	 8	 4.3	5
404	1903	 9	 5.2	5
404	1903	10	 2.3	5
404	1903	11	-0.8	5
404	1903	12	 0.1	5
404	1904	 1	-2.1	5
404	1904	 2	-1.6	5
404	1904	 3	-1.9	5
404	1904	 4	-0.8	5
404	1904	 5	 2.8	5
404	1904	 6	 7.0	5
404	1904	 7	 8.9	5
404	1904	 8	 6.9	5
404	1904	 9	 7.4	5
404	1904	10	 1.5	5
404	1904	11	-1.4	5
404	1904	12	-1.4	5
404	1905	 1	-3.1	5
404	1905	 2	-3.9	5
404	1905	 3	-0.1	5
404	1905	 4	-1.4	5
404	1905	 5	 2.5	5
404	1905	 6	 8.1	5
404	1905	 7	 7.3	5
404	1905	 8	 6.4	5
404	1905	 9	 5.0	5
404	1905	10	 1.1	5
404	1905	11	-0.1	5
404	1905	12	 0.2	5
404	1906	 1	-0.2	5
404	1906	 2	-3.2	5
404	1906	 3	-1.9	5
404	1906	 4	-1.4	5
404	1906	 5	-0.7	5
404	1906	 6	 6.0	5
404	1906	 7	 5.0	5
404	1906	 8	 5.7	5
404	1906	 9	 6.1	5
404	1906	10	 2.9	5
404	1906	11	 0.1	5
404	1906	12	-3.3	5
404	1907	 1	-1.6	5
404	1907	 2	-5.2	5
404	1907	 3	-4.3	5
404	1907	 4	-1.2	5
404	1907	 5	 1.8	5
404	1907	 6	 3.0	5
404	1907	 7	 5.8	5
404	1907	 8	 4.8	5
404	1907	 9	 4.1	5
404	1907	10	 1.5	5
404	1907	11	 0.0	5
404	1907	12	 1.8	5
404	1908	 1	-0.9	5
404	1908	 2	-3.4	5
404	1908	 3	 0.1	5
404	1908	 4	 0.4	5
404	1908	 5	 2.4	5
404	1908	 6	 6.0	5
404	1908	 7	 9.9	5
404	1908	 8	 7.7	5
404	1908	 9	 6.5	5
404	1908	10	 5.2	5
404	1908	11	-0.2	5
404	1908	12	 0.1	5
404	1909	 1	-1.6	5
404	1909	 2	 0.5	5
404	1909	 3	-3.0	5
404	1909	 4	 1.6	5
404	1909	 5	 2.0	5
404	1909	 6	 8.6	5
404	1909	 7	 6.6	5
404	1909	 8	 7.8	5
404	1909	 9	 6.5	5
404	1909	10	 0.8	5
404	1909	11	 0.4	5
404	1909	12	-4.2	5
404	1910	 1	-2.9	5
404	1910	 2	-2.9	5
404	1910	 3	-1.1	5
404	1910	 4	-2.8	5
404	1910	 5	 1.6	5
404	1910	 6	 4.3	5
404	1910	 7	 6.7	5
404	1910	 8	 7.3	5
404	1910	 9	 5.1	5
404	1910	10	 3.7	5
404	1910	11	-2.3	5
404	1910	12	-1.4	5
404	1911	 1	-1.0	5
404	1911	 2	-4.1	5
404	1911	 3	-0.4	5
404	1911	 4	-2.1	5
404	1911	 5	 3.8	5
404	1911	 6	 4.8	5
404	1911	 7	 7.8	5
404	1911	 8	 6.8	5
404	1911	 9	 4.5	5
404	1911	10	 3.0	5
404	1911	11	 0.2	5
404	1911	12	 0.0	5
404	1912	 1	-0.4	5
404	1912	 2	-3.7	5
404	1912	 3	-1.6	5
404	1912	 4	 0.1	5
404	1912	 5	 3.5	5
404	1912	 6	 7.0	5
404	1912	 7	 8.3	5
404	1912	 8	 5.3	5
404	1912	 9	 5.7	5
404	1912	10	 2.7	5
404	1912	11	-1.0	5
404	1912	12	-1.5	5
404	1913	 1	-1.1	5
404	1913	 2	-1.2	5
404	1913	 3	-3.6	5
404	1913	 4	 0.8	5
404	1913	 5	 2.6	5
404	1913	 6	 4.8	5
404	1913	 7	 8.3	5
404	1913	 8	 7.1	5
404	1913	 9	 6.4	5
404	1913	10	 2.2	5
404	1913	11	-0.1	5
404	1913	12	-1.0	5
404	1914	 1	-0.3	5
404	1914	 2	-3.7	5
404	1914	 3	-4.7	5
404	1914	 4	-2.0	5
404	1914	 5	-0.7	5
404	1914	 6	 4.9	5
404	1914	 7	 6.5	5
404	1914	 8	 8.3	5
404	1914	 9	 5.0	5
404	1914	10	 3.7	5
404	1914	11	-1.4	5
404	1914	12	-0.7	5
404	1915	 1	-0.9	5
404	1915	 2	-2.4	5
404	1915	 3	-3.8	5
404	1915	 4	-0.4	5
404	1915	 5	 0.6	5
404	1915	 6	 3.7	5
404	1915	 7	 3.7	5
404	1915	 8	 5.8	5
404	1915	 9	 4.5	5
404	1915	10	 5.8	5
404	1915	11	 2.2	5
404	1915	12	-1.8	5
404	1916	 1	-0.5	5
404	1916	 2	 0.0	5
404	1916	 3	-2.3	5
404	1916	 4	-2.0	5
404	1916	 5	 1.3	5
404	1916	 6	 5.5	5
404	1916	 7	 8.5	5
404	1916	 8	 7.8	5
404	1916	 9	 6.6	5
404	1916	10	 3.7	5
404	1916	11	 0.7	5
404	1916	12	-3.6	5
404	1917	 1	 0.3	5
404	1917	 2	-0.6	5
404	1917	 3	-1.1	5
404	1917	 4	-4.9	5
404	1917	 5	 2.2	5
404	1917	 6	 3.9	5
404	1917	 7	 8.5	5
404	1917	 8	 7.3	5
404	1917	 9	 4.1	5
404	1917	10	-1.5	5
404	1917	11	-2.4	5
404	1917	12	-5.1	5
404	1918	 1	-13.7	5
404	1918	 2	-4.6	5
404	1918	 3	-1.2	5
404	1918	 4	-2.2	5
404	1918	 5	 3.4	5
404	1918	 6	 5.2	5
404	1918	 7	 5.5	5
404	1918	 8	 7.0	5
404	1918	 9	 3.2	5
404	1918	10	 2.6	5
404	1918	11	 0.1	5
404	1918	12	-1.0	5
404	1919	 1	-0.6	5
404	1919	 2	-3.7	5
404	1919	 3	-5.7	5
404	1919	 4	-2.6	5
404	1919	 5	 3.2	5
404	1919	 6	 5.9	5
404	1919	 7	 8.8	5
404	1919	 8	 6.5	5
404	1919	 9	 4.2	5
404	1919	10	 2.0	5
404	1919	11	-2.3	5
404	1919	12	-1.2	5
404	1920	 1	-3.8	5
404	1920	 2	-2.7	5
404	1920	 3	-2.5	5
404	1920	 4	-2.5	5
404	1920	 5	 1.1	5
404	1920	 6	 6.2	5
404	1920	 7	 6.9	5
404	1920	 8	 7.6	5
404	1920	 9	 6.6	5
404	1920	10	 5.8	5
404	1920	11	 3.1	5
404	1920	12	 0.6	5
404	1921	 1	-4.0	5
404	1921	 2	 1.1	5
404	1921	 3	-3.4	5
404	1921	 4	-0.8	5
404	1921	 5	 1.0	5
404	1921	 6	 5.7	5
404	1921	 7	 6.8	5
404	1921	 8	 5.5	5
404	1921	 9	 4.8	5
404	1921	10	 1.6	5
404	1921	11	 0.5	5
404	1921	12	-1.2	5
404	1922	 1	 0.7	5
404	1922	 2	 0.8	5
404	1922	 3	-1.1	5
404	1922	 4	-1.4	5
404	1922	 5	 1.4	5
404	1922	 6	 4.5	5
404	1922	 7	 6.4	5
404	1922	 8	 7.1	5
404	1922	 9	 4.1	5
404	1922	10	 3.8	5
404	1922	11	 0.1	5
404	1922	12	 1.2	5
404	1923	 1	-2.2	5
404	1923	 2	 0.2	5
404	1923	 3	 1.9	5
404	1923	 4	 2.1	5
404	1923	 5	 2.1	5
404	1923	 6	 6.1	5
404	1923	 7	 7.4	5
404	1923	 8	 6.6	5
404	1923	 9	 3.6	5
404	1923	10	 1.8	5
404	1923	11	-1.9	5
404	1923	12	-1.9	5
404	1924	 1	 0.1	5
404	1924	 2	-1.4	5
404	1924	 3	-3.1	5
404	1924	 4	-1.4	5
