907 Hæll Meðalhiti
nr	ar	 man	   t	mat
907	1895	10	 0.6	4
907	1895	11	 0.4	4
907	1895	12	-1.8	4
907	1896	 1	-2.8	4
907	1896	 2	 1.6	4
907	1896	 3	-2.2	4
907	1896	 4	 2.6	4
907	1896	 5	 6.8	4
907	1896	 6	 8.4	4
907	1896	 7	10.9	4
907	1896	 8	10.0	4
907	1896	 9	 6.7	4
907	1896	10	-0.2	4
907	1896	11	 0.2	4
907	1896	12	 0.1	4
907	1897	 1	-1.4	4
907	1897	 2	-2.4	4
907	1897	 3	-0.8	4
907	1897	 4	 2.0	4
907	1897	 5	 4.8	4
907	1897	 6	 9.2	4
907	1897	 7	10.7	4
907	1897	 8	11.1	4
907	1897	 9	 6.5	4
907	1897	10	 4.5	4
907	1897	11	 1.4	4
907	1897	12	-0.4	4
907	1898	 1	-0.9	4
907	1898	 2	-4.5	4
907	1898	 3	-2.2	4
907	1898	 4	 2.9	4
907	1898	 5	 4.5	4
907	1898	 6	 9.1	4
907	1898	 7	 9.6	4
907	1898	 8	 8.2	4
907	1898	 9	 6.7	4
907	1898	10	 3.8	4
907	1898	11	-2.3	4
907	1898	12	-2.4	4
907	1899	 1	-4.0	4
907	1899	 2	-0.6	4
907	1899	 3	-4.3	4
907	1899	 4	-1.2	4
907	1899	 5	 5.2	4
907	1899	 6	 8.2	4
907	1899	 7	10.4	4
907	1899	 8	10.8	4
907	1899	 9	 4.8	4
907	1899	10	 0.9	4
907	1899	11	-0.8	4
907	1899	12	-1.8	4
907	1900	 1	-0.8	4
907	1900	 2	-4.7	4
907	1900	 3	-2.4	4
907	1900	 4	 1.3	4
907	1900	 5	 5.2	4
907	1900	 6	11.0	4
907	1900	 7	11.3	4
907	1900	 8	 9.1	4
907	1900	 9	 7.2	4
907	1900	10	 2.2	4
907	1900	11	 1.0	4
907	1900	12	-1.0	4
907	1901	 1	-0.1	4
907	1901	 2	-0.3	4
907	1901	 3	 0.1	4
907	1901	 4	 0.2	4
907	1901	 5	 7.3	4
907	1901	 6	 9.1	4
907	1901	 7	10.2	4
907	1901	 8	 8.4	4
907	1901	 9	10.1	4
907	1901	10	 1.9	4
907	1901	11	 0.9	4
907	1901	12	-3.6	4
907	1902	 1	-3.9	2
907	1902	 2	-2.4	2
907	1902	 3	-2.5	2
907	1902	 4	 1.3	2
907	1902	 5	 4.5	2
907	1902	 6	 8.7	2
907	1902	 7	10.6	2
907	1902	 8	 9.5	2
907	1902	 9	 8.2	2
907	1902	10	 4.6	2
907	1902	11	 2.0	2
907	1902	12	-0.5	2
907	1903	 1	-2.5	4
907	1903	 2	-1.9	4
907	1903	 3	-2.2	4
907	1903	 4	-0.6	4
907	1903	 5	 4.3	4
907	1903	 6	 8.3	4
907	1903	 7	11.2	4
907	1903	 8	 7.9	4
907	1903	 9	 7.6	4
907	1903	10	 1.9	4
907	1903	11	-1.9	4
907	1903	12	 0.6	4
907	1904	 1	-1.6	4
907	1904	 2	-2.4	4
907	1904	 3	-1.8	4
907	1904	 4	 0.6	4
907	1904	 5	 5.7	4
907	1904	 6	 9.9	4
907	1904	 7	11.1	4
907	1904	 8	10.9	4
907	1904	 9	 8.4	4
907	1904	10	 0.9	4
907	1904	11	-1.4	4
907	1904	12	-2.2	4
907	1905	 1	-2.8	4
907	1905	 2	-3.2	4
907	1905	 3	 1.1	4
907	1905	 4	 0.7	4
907	1905	 5	 5.6	4
907	1905	 6	 9.8	4
907	1905	 7	10.5	4
907	1905	 8	 9.9	4
907	1905	 9	 7.0	4
907	1905	10	 2.6	4
907	1905	11	 0.6	4
907	1905	12	-0.1	4
907	1906	 1	-0.9	4
907	1906	 2	-4.8	4
907	1906	 3	-2.5	4
907	1906	 4	 0.0	4
907	1906	 5	 2.5	4
907	1906	 6	 9.8	4
907	1906	 7	10.2	4
907	1906	 8	10.2	4
907	1906	 9	 7.8	4
907	1906	10	 3.4	4
907	1906	11	 0.7	4
907	1906	12	-4.7	4
907	1907	 1	-1.1	4
907	1907	 2	-4.4	4
907	1907	 3	-3.1	4
907	1907	 4	 3.2	4
907	1907	 5	 5.2	4
907	1907	 6	 7.9	4
907	1907	 7	10.8	4
907	1907	 8	 8.5	4
907	1907	 9	 5.8	4
907	1907	10	 2.0	4
907	1907	11	-0.7	4
907	1907	12	 1.2	4
907	1908	 1	-1.3	4
907	1908	 2	-2.7	4
907	1908	 3	-0.1	4
907	1908	 4	 2.0	4
907	1908	 5	 4.5	4
907	1908	 6	 8.7	4
907	1908	 7	12.6	4
907	1908	 8	 8.3	4
907	1908	 9	 7.9	4
907	1908	10	 6.8	4
907	1908	11	 0.5	4
907	1908	12	 0.2	4
907	1909	 1	-2.8	4
907	1909	 2	 0.9	4
907	1909	 3	-1.4	4
907	1909	 4	 3.8	4
907	1909	 5	 5.8	4
907	1909	 6	11.2	4
907	1909	 7	10.8	4
907	1909	 8	 8.2	4
907	1909	 9	 7.2	4
907	1909	10	 0.8	4
907	1909	11	 0.3	4
907	1909	12	-4.5	4
907	1910	 1	-3.8	4
907	1910	 2	-2.4	4
907	1910	 3	 0.6	4
907	1910	 4	-1.1	4
907	1910	 5	 5.8	4
907	1910	 6	 8.7	4
907	1910	 7	11.3	4
907	1910	 8	11.2	4
907	1910	 9	 6.5	4
907	1910	10	 5.3	4
907	1910	11	-2.2	4
907	1910	12	-0.2	4
907	1911	 1	-1.9	4
907	1911	 2	-2.5	4
907	1911	 3	-0.3	4
907	1911	 4	 1.4	4
907	1911	 5	 6.3	4
907	1911	 6	 9.7	4
907	1911	 7	10.3	4
907	1911	 8	11.2	4
907	1911	 9	 6.0	4
907	1911	10	 4.2	4
907	1911	11	 0.9	4
907	1911	12	 1.7	4
907	1912	 1	 0.9	4
907	1912	 2	-3.0	4
907	1912	 3	-0.6	4
907	1912	 4	 2.0	4
907	1912	 5	 7.2	4
907	1912	 6	10.8	4
907	1912	 7	11.2	4
907	1912	 8	 8.8	4
907	1912	 9	 8.3	4
907	1912	10	 4.5	4
907	1912	11	-1.1	4
907	1912	12	-2.1	4
