615 Seyðisfjörður Meðalhiti
nr	ar	 man	   t	mat
615	1915	 6	 8.2	3
615	1915	 7	 7.8	3
615	1915	 8	 9.7	3
615	1915	 9	 6.1	3
615	1915	10	 7.2	3
615	1915	11	 1.9	3
615	1915	12	-2.7	3
615	1916	 1	 0.1	3
615	1916	 2	 0.6	3
615	1916	 3	-1.6	3
615	1916	 4	 0.2	3
615	1916	 5	 3.1	3
615	1916	 6	 8.0	3
615	1916	 7	11.0	3
615	1916	 8	 9.9	3
615	1916	 9	 6.8	3
615	1916	10	 4.1	3
615	1916	11	 1.1	3
615	1916	12	-1.9	3
615	1917	 1	-1.1	3
615	1917	 2	 0.1	3
615	1917	 3	 0.8	3
615	1917	 4	-2.9	3
615	1917	 5	 3.9	3
615	1917	 6	 7.5	3
615	1917	 7	11.2	3
615	1917	 8	 9.5	3
615	1917	 9	 5.2	3
615	1917	10	-1.3	3
615	1917	11	-2.6	3
615	1917	12	-4.4	3
615	1918	 1	-9.5	3
615	1918	 2	-1.3	3
615	1918	 3	 1.7	3
615	1918	 4	 1.1	3
615	1918	 5	 5.4	3
615	1918	 6	 8.3	3
615	1918	 7	 8.4	3
615	1918	 8	 8.0	3
615	1918	 9	 3.4	3
615	1918	10	 3.2	3
615	1918	11	 1.4	3
615	1918	12	-0.3	3
615	1919	 1	-0.2	3
615	1919	 2	-2.4	3
615	1919	 3	-5.2	3
615	1919	 4	-1.6	3
615	1919	 5	 5.7	3
615	1919	 6	11.9	3
615	1919	 7	13.5	3
615	1919	 8	 9.2	3
615	1919	 9	 4.9	3
615	1919	10	 3.2	3
615	1919	11	-2.6	3
615	1919	12	 0.0	3
615	1920	 1	-3.1	3
615	1920	 2	-2.2	3
615	1920	 3	-0.8	3
615	1920	 4	-0.8	3
615	1920	 5	 2.8	3
615	1920	 6	 8.1	3
615	1920	 7	 9.0	3
615	1920	 8	 9.6	3
615	1920	 9	 8.5	3
615	1920	10	 7.5	3
615	1920	11	 3.1	3
615	1920	12	 1.4	3
615	1921	 1	-3.0	3
