178 Stykkishólmur Meðalhiti
nr	ar	 man	   t	mat
178	1845	 9	 6.9	2
178	1845	10	 4.3	2
178	1845	11	-0.5	2
178	1845	12	-3.9	2
178	1846	 1	-1.2	5
178	1846	 2	 0.7	5
178	1846	 3	-2.2	5
178	1846	 4	 1.6	5
178	1846	 5	 6.5	5
178	1846	 6	10.4	5
178	1846	 7	10.3	5
178	1846	 8	11.0	5
178	1846	 9	 8.8	5
178	1846	10	 2.7	5
178	1846	11	 3.5	5
178	1846	12	-0.8	5
178	1847	 1	 3.4	5
178	1847	 2	 0.0	5
178	1847	 3	 3.6	5
178	1847	 4	 1.9	5
178	1847	 5	 6.0	5
178	1847	 6	 9.5	5
178	1847	 7	11.9	5
178	1847	 8	 9.9	5
178	1847	 9	 5.2	5
178	1847	10	 4.9	5
178	1847	11	-0.8	5
178	1847	12	-2.1	5
178	1848	 1	-0.7	5
178	1848	 2	-8.4	5
178	1848	 3	-0.4	5
178	1848	 4	-1.2	5
178	1848	 5	 4.4	5
178	1848	 6	 6.9	5
178	1848	 7	 9.0	5
178	1848	 8	 8.3	5
178	1848	 9	 6.6	5
178	1848	10	 4.5	5
178	1848	11	-0.3	5
178	1848	12	-0.9	5
178	1849	 1	-3.2	5
178	1849	 2	-4.1	5
178	1849	 3	-1.7	5
178	1849	 4	 1.0	5
178	1849	 5	 5.4	5
178	1849	 6	 7.4	5
178	1849	 7	10.4	5
178	1849	 8	10.3	5
178	1849	 9	 8.4	5
178	1849	10	 2.9	5
178	1849	11	 0.6	5
178	1849	12	 1.8	5
178	1850	 1	-1.4	5
178	1850	 2	-3.3	5
178	1850	 3	-0.9	5
178	1850	 4	 3.2	5
178	1850	 5	 3.8	5
178	1850	 6	 6.6	5
178	1850	 7	 9.1	5
178	1850	 8	 6.9	5
178	1850	 9	 8.1	5
178	1850	10	 3.2	5
178	1850	11	 0.9	5
178	1850	12	 2.5	5
178	1851	 1	 0.9	5
178	1851	 2	-0.4	5
178	1851	 3	 0.5	5
178	1851	 4	 2.6	5
178	1851	 5	 6.0	5
178	1851	 6	 5.9	5
178	1851	 7	 8.8	5
178	1851	 8	 8.4	5
178	1851	 9	 7.1	5
178	1851	10	 3.7	5
178	1851	11	 2.2	5
178	1851	12	 3.1	5
178	1852	 1	-1.8	5
178	1852	 2	-0.7	5
178	1852	 3	 2.4	5
178	1852	 4	 5.3	5
178	1852	 5	 6.2	5
178	1852	 6	 8.9	5
178	1852	 7	10.4	5
178	1852	 8	 9.3	5
178	1852	 9	 7.0	5
178	1852	10	 4.4	5
178	1852	11	 0.0	5
178	1852	12	-3.3	5
178	1853	 1	-5.2	5
