303 Hlaðhamar Meðalhiti
nr	ar	 man	   t	mat
303	1913	 9	 7.0	3
303	1913	10	 1.7	3
303	1913	11	-2.0	3
303	1913	12	-2.5	3
303	1914	 1	-0.2	3
303	1914	 2	-4.9	3
303	1914	 3	-5.1	3
303	1914	 4	-2.0	3
303	1914	 5	 1.4	3
303	1914	 6	 6.7	3
303	1914	 7	 7.6	3
303	1914	 8	 8.8	3
303	1914	 9	 5.8	3
303	1914	10	 3.6	3
303	1914	11	-3.4	3
303	1914	12	-2.5	3
303	1915	 1	-2.2	3
303	1915	 2	-4.5	3
303	1915	 3	-4.8	3
303	1915	 4	 0.3	3
303	1915	 5	 3.0	3
303	1915	 6	 5.8	3
303	1915	 7	 5.4	3
303	1915	 8	 8.0	3
303	1915	 9	 5.6	3
303	1915	10	 6.2	3
303	1915	11	 0.5	3
303	1915	12	-2.9	3
303	1916	 1	-2.8	3
303	1916	 2	-2.2	3
303	1916	 3	-3.0	3
303	1916	 4	-2.1	3
303	1916	 5	 1.9	3
303	1916	 6	 8.0	3
303	1916	 7	 9.9	3
303	1916	 8	10.1	3
303	1916	 9	 6.8	3
303	1916	10	 3.6	3
303	1916	11	-0.3	3
303	1916	12	-4.5	3
303	1917	 1	-1.4	3
303	1917	 2	-0.7	3
303	1917	 3	-0.6	3
303	1917	 4	-3.4	3
303	1917	 5	 3.5	3
303	1917	 6	 5.7	3
303	1917	 7	11.2	3
303	1917	 8	 7.7	3
303	1917	 9	 5.3	3
303	1917	10	-1.9	3
303	1917	11	-3.1	3
303	1917	12	-5.2	3
303	1918	 1	-15.0	3
303	1918	 2	-5.7	3
303	1918	 3	-0.3	3
303	1918	 4	-0.4	3
303	1918	 5	 4.7	3
303	1918	 6	 7.5	3
303	1918	 7	 6.7	3
303	1918	 8	 8.4	3
303	1918	 9	 5.5	3
303	1918	10	 2.5	3
303	1918	11	-0.1	3
303	1918	12	-2.3	3
303	1919	 1	-3.0	3
303	1919	 2	-3.3	3
303	1919	 3	-6.3	3
303	1919	 4	-0.8	3
303	1919	 5	 4.2	3
303	1919	 6	 8.2	3
303	1919	 7	10.6	3
303	1919	 8	 8.1	3
303	1919	 9	 5.5	3
303	1919	10	 2.3	3
303	1919	11	-3.8	3
303	1919	12	-2.8	3
303	1920	 1	-5.9	2
303	1920	 2	-5.2	2
303	1920	 3	-3.5	2
303	1920	 4	-2.2	2
303	1920	 5	 1.1	2
303	1920	 6	 8.0	2
303	1920	 7	 8.7	2
303	1920	 8	 8.0	2
303	1920	 9	 6.8	2
303	1920	10	 5.9	2
303	1920	11	 0.8	2
303	1920	12	-1.4	2
303	1921	 1	-4.7	2
303	1921	 2	 1.0	2
303	1921	 3	-3.2	2
303	1921	 4	 0.4	2
303	1921	 5	 2.1	2
303	1921	 6	 6.9	2
303	1921	 7	 7.8	2
303	1921	 8	 6.6	2
